Sort;URL;Original title;S;Creator(s);Genres;Start;End;Media;Storage;Video;E;Mins;Hours;Added;comment
Okkupert;Cal.;Okkupert;1;Jo Nesbø / Erik Skjoldbjærg;Drama, Thriller;2015;2015;Downloaded;DELETED;HD 720P;10;45;7,50;;
House of Cards;Cal.;House of Cards;4;Beau Willimon;Drama;2016;2016;Downloaded;DELETED;HD 1080P;13;50;10,83;;
Americans;Cal.;The Americans;4;Joe Weisberg;Crime | Drama | Mystery | Thriller;2016;2016;Downloaded;DELETED;HD 720P;13;45;9,75;;
Daredevil;Cal.;Daredevil;2;Drew Goddard;Action , Crime , Drama;2016;2016;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Archer;Cal.;Archer;7;Adam Reed;Animation | Action | Comedy;2016;2016;Downloaded;DELETED;HD 720P;10;22;3,67;;
11.22.63;Cal.;11.22.63;1;Bridget Carpenter;Drama, Mystery, Sci-Fi;2016;2016;Downloaded;DELETED;HD 1080P;8;60;8,00;;
House of Lies;Cal.;House of Lies;5;Matthew Carnahan;Comedy | Drama;2016;2016;Downloaded;DELETED;HD 720P;10;30;5,00;;
Game of Thrones;Cal.;Game of Thrones;6;David Benioff / Dan Weiss;Drama | Fantasy;2016;2016;Downloaded;T:\TV\;HD 1080P;10;60;10,00;;
Veep;Cal.;Veep;5;Armando Iannucci;Comedy;2016;2016;Downloaded;DELETED;HD 720P;10;30;5,00;;
Silicon Valley;Cal.;Silicon Valley;3;Mike Judge;Comedy;2016;2016;Downloaded;DELETED;HD 720P;10;30;5,00;;
Man in the High Castle;Cal.;The Man in the High Castle;1;Frank Spotnitz;Drama, Sci-Fi, Thriller;2015;2015;Downloaded;DELETED;HD 1080P;10;55;9,17;;
Orange Is the New Black;Cal.;Orange Is the New Black;4;Jenji Kohan;Comedy | Crime | Drama;2016;2016;Downloaded;DELETED;HD 720P;13;55;11,92;;
Stranger Things;Cal.;Stranger Things;1;The Duffer Brothers;Drama, Horror, Thriller;2016;2016;Downloaded;DELETED;HD 1080P;8;48;6,40;;
Mr. Robot;Cal.;Mr. Robot;2;Sam Esmail;Crime, Drama, Thriller;2016;2016;Downloaded;DELETED;HD 1080P;12;50;10,00;;
Night Manager;Cal.;The Night Manager;1;David Farr;Crime, Drama, Mystery;2016;2016;Downloaded;DELETED;HD 720P;6;58;5,80;;
South Park;Cal.;South Park;20;Trey Parker, Matt Stone;Animation | Comedy;2016;2016;Downloaded;external #1;HD 720P;10;22;3,67;;
Modern Family;Cal.;Modern Family;8;Steven Levitan / Christopher Lloyd;Comedy;2016;2017;Downloaded;DELETED;HD 720P;22;22;8,07;;
Westworld;Cal.;Westworld;1;Jonathan Nolan & Lisa Joy;Drama, Mystery, Sci-Fi;2016;2016;Downloaded;DELETED;HD 1080P;10;60;10,00;;
Designated Survivor;Cal.;Designated Survivor;1;David Guggenheim;Drama, Thriller;2016;2017;Downloaded;DELETED;HD 720P;21;42;14,70;;
Walking Dead;Cal.;The Walking Dead;7;Frank Darabont;Drama | Horror;2016;2017;Downloaded;DELETED;HD 720P;16;45;12,00;;
Nobel;Cal.;Nobel;1;Per-Olav Sørensen;Thriller;2016;2016;Streamed;N/A;HD 720P;7;50;5,83;;
Man in the High Castle;Cal.;The Man in the High Castle;2;Frank Spotnitz;Drama, Sci-Fi, Thriller;2016;2016;Downloaded;DELETED;HD 1080P;10;55;9,17;;
Sherlock;Cal.;Sherlock;4;Mark Gatiss/Steven Moffat;Crime | Drama | Mystery;2017;2017;Downloaded;DELETED;HD 1080P;3;90;4,50;;
Homeland;Cal.;Homeland;6;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2017;2017;Downloaded;DELETED;HD 1080P;12;55;11,00;;
Black Sails;Cal.;Black Sails;4;Jonathan E. Steinberg;Adventure, Drama;2017;2017;Downloaded;DELETED;HD 1080P;10;55;9,17;;
Expanse;Cal.;The Expanse;2;Mark Fergus/Hawk Ostby;Drama, Mystery, Sci-Fi;2017;2017;Downloaded;T:\TV\;HD 1080P;13;43;9,32;;
Girls;Cal.;Girls;6;Lena Dunham;Comedy;2017;2017;Downloaded;DELETED;HD 720P;10;30;5,00;;
Americans;Cal.;The Americans;5;Joe Weisberg;Crime | Drama | Mystery | Thriller;2017;2017;Downloaded;DELETED;HD 1080P;13;45;9,75;;
Legion;Cal.;Legion;1;Noah Hawley;Action, Drama, Sci-Fi;2017;2017;Downloaded;DELETED;HD 1080P;8;60;8,00;;
Archer;Cal.;Archer;8;Adam Reed;Animation | Action | Comedy;2017;2017;Downloaded;DELETED;HD 720P;8;22;2,93;;
Better Call Saul;Cal.;Better Call Saul;3;Vince Gilligan;Crime, Drama;2017;2017;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Doctor Who (2005);Cal.;Doctor Who (2005);10;Steven Moffat;Adventure | Drama | Sci-Fi;2017;2017;Downloaded;DELETED;HD 1080P;12;45;9,00;;
Veep;Cal.;Veep;6;Armando Iannucci;Comedy;2017;2017;Downloaded;DELETED;HD 720P;10;30;5,00;;
Fargo;Cal.;Fargo;3;Noah Hawley;Crime | Drama;2017;2017;Downloaded;DELETED;HD 1080P;10;55;9,17;;
Silicon Valley;Cal.;Silicon Valley;4;Mike Judge;Comedy;2017;2017;Downloaded;DELETED;HD 720P;10;30;5,00;;
American Gods;Cal.;American Gods;1;Bryan Fuller/Michael Green;Fantasy, Mystery;2017;2017;Downloaded;DELETED;HD 1080P;8;60;8,00;;
Twin Peaks (2017);Cal.;Twin Peaks (2017);1;David Lynch & Mark Frost;Crime, Drama, Mystery;2017;2017;Downloaded;DELETED;HD 1080P;18;55;16,50;;
House of Cards;Cal.;House of Cards;5;Beau Willimon;Drama;2017;2017;Downloaded;DELETED;HD 1080P;13;50;10,83;;
Orange Is the New Black;Cal.;Orange Is the New Black;5;Jenji Kohan;Comedy | Crime | Drama;2017;2017;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Game of Thrones;Cal.;Game of Thrones;7;David Benioff / Dan Weiss;Drama | Fantasy;2017;2017;Downloaded;T:\TV\;HD 1080P;7;60;7,00;;
Handmaid's Tale;Cal.;The Handmaid's Tale;1;Bruce Miller;Drama, Sci-Fi;2017;2017;Downloaded;DELETED;HD 1080P;10;55;9,17;;
South Park;Cal.;South Park;21;Trey Parker, Matt Stone;Animation | Comedy;2017;2017;Downloaded;external #1;HD 720P;10;22;3,67;;
Modern Family;Cal.;Modern Family;9;Steven Levitan / Christopher Lloyd;Comedy;2017;2018;Downloaded;DELETED;HD 720P;22;22;8,07;;
Mr. Robot;Cal.;Mr. Robot;3;Sam Esmail;Crime, Drama, Thriller;2017;2017;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Mindhunter;Cal.;Mindhunter;1;Joe Penhall;Crime, Drama, Thriller;2017;2017;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Walking Dead;Cal.;The Walking Dead;8;Frank Darabont;Drama | Horror;2017;2018;Downloaded;DELETED;HD 720P;16;45;12,00;;
Stranger Things;Cal.;Stranger Things;2;The Duffer Brothers;Drama, Horror, Thriller;2017;2017;Downloaded;DELETED;HD 1080P;9;48;7,20;;
Punisher;Cal.;The Punisher;1;Steve Lightfoot;Action, Adventure, Crime;2017;2017;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Leftovers;Cal.;The Leftovers;1;Damon Lindelof/Tom Perrotta;Drama, Fantasy, Mystery;2014;2014;Downloaded;DELETED;HD 1080P;10;60;10,00;;
Leftovers;Cal.;The Leftovers;2;Damon Lindelof/Tom Perrotta;Drama, Fantasy, Mystery;2015;2015;Downloaded;DELETED;HD 1080P;10;60;10,00;;
Leftovers;Cal.;The Leftovers;3;Damon Lindelof/Tom Perrotta;Drama, Fantasy, Mystery;2017;2017;Downloaded;DELETED;HD 1080P;8;60;8,00;;
Altered Carbon;Cal.;Altered Carbon;1;Laeta Kalogridis;Drama, Sci-Fi, Thriller;2018;2018;Downloaded;DELETED;HD 1080P;10;55;9,17;;
Homeland;Cal.;Homeland;7;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2018;2018;Downloaded;DELETED;HD 1080P;12;55;11,00;;
Sneaky Pete;Cal.;Sneaky Pete;1;David Shore/Bryan Cranston;Crime, Drama;2017;2017;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Sneaky Pete;Cal.;Sneaky Pete;2;David Shore/Bryan Cranston;Crime, Drama;2018;2018;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Jessica Jones;Cal.;Jessica Jones;2;Melissa Rosenberg;Action, Crime, Drama;2018;2018;Downloaded;DELETED;HD 1080P;13;50;10,83;;
Okkupert;Cal.;Okkupert;2;Jo Nesbø / Erik Skjoldbjærg;Drama, Thriller;2017;2017;Downloaded;DELETED;HD 720P;8;45;6,00;;
Silicon Valley;Cal.;Silicon Valley;5;Mike Judge;Comedy;2018;2018;Downloaded;DELETED;HD 1080P;8;30;4,00;;
Americans;Cal.;The Americans;6;Joe Weisberg;Crime | Drama | Mystery | Thriller;2018;2018;Downloaded;DELETED;HD 1080P;10;45;7,50;;
Legion;Cal.;Legion;2;Noah Hawley;Action, Drama, Sci-Fi;2018;2018;Downloaded;DELETED;HD 1080P;11;60;11,00;;
Expanse;Cal.;The Expanse;3;Mark Fergus/Hawk Ostby;Drama, Mystery, Sci-Fi;2018;2018;Downloaded;T:\TV\;HD 1080P;13;43;9,32;;
Westworld;Cal.;Westworld;2;Jonathan Nolan & Lisa Joy;Drama, Mystery, Sci-Fi;2018;2018;Downloaded;DELETED;HD 1080P;10;60;10,00;;
Archer;Cal.;Archer;9;Adam Reed;Animation | Action | Comedy;2018;2018;Downloaded;DELETED;HD 720P;8;22;2,93;;
Handmaid's Tale;Cal.;The Handmaid's Tale;2;Bruce Miller;Drama, Sci-Fi;2018;2018;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Big Little Lies;Cal.;Big Little Lies;1;David E. Kelley;Crime, Drama, Mystery;2017;2017;Downloaded;DELETED;HD 1080P;7;55;6,42;;
Terror;Cal.;The Terror;1;David Kajganich;Adventure, Drama, History, Horror;2018;2018;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Black Mirror;Cal.;Black Mirror;1;Charlie Brooker;Drama, Sci-Fi, Thriller;2011;2011;Downloaded;DELETED;HD 1080P;3;60;3,00;;
Black Mirror;Cal.;Black Mirror;2;Charlie Brooker;Drama, Sci-Fi, Thriller;2013;2013;Downloaded;DELETED;HD 1080P;3;60;3,00;;and fourth christmas 2014 special episode
Orange Is the New Black;Cal.;Orange Is the New Black;6;Jenji Kohan;Comedy | Crime | Drama;2018;2018;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Black Mirror;Cal.;Black Mirror;3;Charlie Brooker;Drama, Sci-Fi, Thriller;2016;2016;Downloaded;DELETED;HD 1080P;6;60;6,00;;
Black Mirror;Cal.;Black Mirror;4;Charlie Brooker;Drama, Sci-Fi, Thriller;2017;2017;Downloaded;DELETED;HD 1080P;6;60;6,00;;
Better Call Saul;Cal.;Better Call Saul;4;Vince Gilligan;Crime, Drama;2018;2018;Downloaded;DELETED;HD 1080P;10;50;8,33;;
South Park;Cal.;South Park;22;Trey Parker, Matt Stone;Animation | Comedy;2018;2018;Downloaded;external #1;HD 720P;10;22;3,67;;
Modern Family;Cal.;Modern Family;10;Steven Levitan / Christopher Lloyd;Comedy;2018;2019;Downloaded;DELETED;HD 720P;22;22;8,07;;
Man in the High Castle;Cal.;The Man in the High Castle;3;Frank Spotnitz;Drama, Sci-Fi, Thriller;2018;2018;Downloaded;DELETED;HD 1080P;10;55;9,17;;
Doctor Who (2005);Cal.;Doctor Who (2005);11;Chris Chibnall;Adventure | Drama | Sci-Fi;2018;2018;Downloaded;DELETED;HD 1080P;10;45;7,50;;
Walking Dead;Cal.;The Walking Dead;9;Frank Darabont;Drama | Horror;2018;2019;Downloaded;DELETED;HD 1080P;16;45;12,00;;
Bodyguard;Cal.;Bodyguard;1;Jed Mercurio;Crime , Drama , Thriller;2018;2018;Downloaded;DELETED;HD 1080P;6;60;6,00;;
Daredevil;Cal.;Daredevil;3;Drew Goddard;Action , Crime , Drama;2018;2018;Downloaded;DELETED;HD 1080P;13;55;11,92;;
House of Cards;Cal.;House of Cards;6;Beau Willimon;Drama;2018;2018;Downloaded;DELETED;HD 1080P;8;50;6,67;;
True Detective;Cal.;True Detective;3;Nic Pizzolatto;Crime | Drama;2019;2019;Downloaded;DELETED;HD 1080P;8;60;8,00;;
Barry;Cal.;Barry;1;Alec Berg and Bill Hader;Comedy, Crime, Drama;2018;2018;Downloaded;DELETED;HD 1080P;8;30;4,00;;
Killing Eve;Cal.;Killing Eve;1;Phoebe Waller-Bridge;Drama, Thriller;2018;2018;Downloaded;DELETED;HD 1080P;8;42;5,60;;
Veep;Cal.;Veep;7;Armando Iannucci;Comedy;2019;2019;Downloaded;DELETED;HD 1080P;7;30;3,50;;
Barry;Cal.;Barry;2;Alec Berg and Bill Hader;Comedy, Crime, Drama;2019;2019;Downloaded;DELETED;HD 1080P;8;30;4,00;;
Killing Eve;Cal.;Killing Eve;2;Phoebe Waller-Bridge;Drama, Thriller;2019;2019;Downloaded;DELETED;HD 1080P;8;42;5,60;;
Game of Thrones;Cal.;Game of Thrones;8;David Benioff / Dan Weiss;Drama | Fantasy;2019;2019;Downloaded;T:\TV\;HD 1080P;6;60;6,00;;
Future Man;Cal.;Future Man;1;Howard Overman, Kyle Hunter, and Ariel Shaffir;Action, Adventure, Comedy, Sci-Fi;2017;2017;Downloaded;DELETED;HD 1080P;13;30;6,50;;
Sneaky Pete;Cal.;Sneaky Pete;3;David Shore/Bryan Cranston;Crime, Drama;2019;2019;Downloaded;DELETED;HD 1080P;10;50;8,33;;
Archer;Cal.;Archer;10;Adam Reed;Animation | Action | Comedy;2019;2019;Downloaded;DELETED;HD 1080P;9;22;3,30;;
What We Do in the Shadows;Cal.;What We Do in the Shadows;1;Jemaine Clement/Taika Waititi;Comedy, Fantasy, Horror;2019;2019;Downloaded;DELETED;HD 1080P;10;30;5,00;;
Chernobyl;Cal.;Chernobyl;1;Craig Mazin;Drama, History;2019;2019;Downloaded;DELETED;HD 1080P;5;60;5,00;;
Black Mirror;Cal.;Black Mirror;5;Charlie Brooker;Drama, Sci-Fi, Thriller;2019;2019;Downloaded;DELETED;HD 1080P;3;60;3,00;;
Handmaid's Tale;Cal.;The Handmaid's Tale;3;Bruce Miller;Drama, Sci-Fi;2019;2019;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Big Little Lies;Cal.;Big Little Lies;2;David E. Kelley;Crime, Drama, Mystery;2019;2019;Downloaded;DELETED;HD 1080P;7;55;6,42;;
Legion;Cal.;Legion;3;Noah Hawley;Action, Drama, Sci-Fi;2019;2019;Downloaded;DELETED;HD 1080P;8;60;8,00;;
Stranger Things;Cal.;Stranger Things;3;The Duffer Brothers;Drama, Horror, Thriller;2019;2019;Downloaded;DELETED;HD 1080P;8;48;6,40;;
Veronica Mars;Cal.;Veronica Mars;4;Rob Thomas;Comedy | Crime | Drama | Mystery | Thriller;2019;2019;Downloaded;DELETED;HD 1080P;8;48;6,40;;
Orange Is the New Black;Cal.;Orange Is the New Black;7;Jenji Kohan;Comedy | Crime | Drama;2019;2019;Downloaded;DELETED;HD 1080P;13;55;11,92;;
Mindhunter;Cal.;Mindhunter;2;Joe Penhall;Crime, Drama, Thriller;2019;2019;Downloaded;DELETED;HD 1080P;9;50;7,50;29.09.2019;
Dark;Cal.;Dark;1;Baran bo Odar/Jantje Friese;Crime | Drama | Mystery | Sci-Fi | Thriller;2017;2017;Downloaded;temp;HD 1080P;10;50;8,33;29.09.2019;
Dark;Cal.;Dark;2;Baran bo Odar/Jantje Friese;Crime | Drama | Mystery | Sci-Fi | Thriller;2019;2019;Downloaded;temp;HD 1080P;8;50;6,67;29.09.2019;
Modern Family;Cal.;Modern Family;11;Steven Levitan / Christopher Lloyd;Comedy;2019;2020;Downloaded;DELETED;HD 1080P;18;22;6,60;29.09.2019;
South Park;Cal.;South Park;23;Trey Parker, Matt Stone;Animation | Comedy;2019;2019;Downloaded;DELETED;HD 1080P;10;22;3,67;29.09.2019;maybe redownload to external
Mr. Robot;Cal.;Mr. Robot;4;Sam Esmail;Crime, Drama, Thriller;2019;2019;Downloaded;DELETED;HD 1080P;13;50;10,83;07.10.2019;
Walking Dead;Cal.;The Walking Dead;10;Frank Darabont;Drama | Horror;2019;2020;Downloaded;DELETED;HD 1080P;16;45;12,00;07.10.2019;
Watchmen;Cal.;Watchmen;1;Damon Lindelof;Action, Drama, Mystery;2019;2019;Downloaded;S:\TV\;HD 1080P;9;60;9,00;21.10.2019;
Silicon Valley;Cal.;Silicon Valley;6;Mike Judge;Comedy;2019;2019;Downloaded;DELETED;HD 1080P;7;30;3,50;28.10.2019;
His Dark Materials;Cal.;His Dark Materials;1;Jack Thorne;Adventure | Drama | Family | Fantasy;2019;2019;Downloaded;DELETED;HD 1080P;8;60;8,00;04.11.2019;
Mandalorian;Cal.;The Mandalorian;1;Jon Favreau;Action, Adventure, Sci-Fi;2019;2019;Downloaded;S:\TV\;HD 1080P;8;40;5,33;12.11.2019;
Man in the High Castle;Cal.;The Man in the High Castle;4;Frank Spotnitz;Drama, Sci-Fi, Thriller;2019;2019;Downloaded;DELETED;HD 1080P;10;55;9,17;15.11.2019;
Expanse;Cal.;The Expanse;4;Mark Fergus/Hawk Ostby;Drama, Mystery, Sci-Fi;2019;2019;Downloaded;S:\TV\;HD 1080P;10;43;7,17;14.12.2019;
Witcher;Cal.;The Witcher;1;Lauren Schmidt Hissrich;Action | Adventure | Drama | Fantasy;2019;2019;Downloaded;S:\TV\;HD 1080P;8;60;8,00;20.12.2019;
Okkupert;Cal.;Okkupert;3;Jo Nesbø / Erik Skjoldbjærg;Drama, Thriller;2019;2020;Downloaded;DELETED;HD 1080P;6;45;4,50;28.12.2019;
Russian Doll;Cal.;Russian Doll;1;Natasha Lyonne;Adventure | Comedy | Drama | Mystery;2019;2019;Downloaded;DELETED;HD 1080P;8;27;3,60;29.12.2019;
Doctor Who (2005);Cal.;Doctor Who (2005);12;Chris Chibnall;Adventure | Drama | Sci-Fi;2020;2020;Downloaded;DELETED;HD 1080P;10;45;7,50;03.01.2020;
Star Trek: Picard;Cal.;Star Trek: Picard;1;Kirsten Beyer, Akiva Goldsman, Michael Chabon and Alex Kurtzman;Action | Adventure | Drama | Sci-Fi;2020;2020;Downloaded;DELETED;HD 1080P;10;45;7,50;25.01.2020;
22. juli;Cal.;22. juli;1;NRK;Drama;2020;2020;Streamed;N/A;HD 1080P;6;50;5,00;10.01.2020;NRK TV
Homeland;Cal.;Homeland;8;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2020;2020;Downloaded;DELETED;HD 1080P;12;55;11,00;10.02.2020;
For All Mankind;Cal.;For All Mankind;1;Ronald D. Moore, Matt Wolpert, Ben Nedivi;Drama, Sci-Fi;2019;2019;Downloaded;DELETED;HD 1080P;10;60;10,00;16.02.2020;
Better Call Saul;Cal.;Better Call Saul;5;Vince Gilligan;Crime, Drama;2020;2020;Downloaded;DELETED;HD 1080P;10;50;8,33;24.02.2020;
Altered Carbon;Cal.;Altered Carbon;2;Laeta Kalogridis;Drama, Sci-Fi, Thriller;2020;2020;Downloaded;DELETED;HD 1080P;8;50;6,67;27.02.2020;
Exit;Cal.;Exit;1;NRK;Drama;2019;2019;Streamed;N/A;HD 1080P;8;30;4,00;10.03.2020;
Devs;Cal.;Devs;1;Alex Garland;Drama | Mystery | Sci-Fi | Thriller;2020;2020;Downloaded;DELETED;HD 1080P;8;55;7,33;14.03.2020;
Westworld;Cal.;Westworld;3;Jonathan Nolan & Lisa Joy;Drama, Mystery, Sci-Fi;2020;2020;Downloaded;DELETED;HD 1080P;8;60;8,00;16.03.2020;
Tiger King: Murder, Mayhem and Madness;Cal.;Tiger King: Murder, Mayhem and Madness;1;Eric Goode/Rebecca Chaiklin;Documentary, Crime;2020;2020;Downloaded;DELETED;HD 1080P;7;45;5,25;06.04.2020;
Killing Eve;Cal.;Killing Eve;3;Phoebe Waller-Bridge;Drama, Thriller;2020;2020;Downloaded;DELETED;HD 1080P;8;42;5,60;13.04.2020;
What We Do in the Shadows;Cal.;What We Do in the Shadows;2;Jemaine Clement/Taika Waititi;Comedy, Fantasy, Horror;2020;2020;Downloaded;DELETED;HD 1080P;10;30;5,00;17.04.2020;
Le Bureau des Légendes;Cal.;Le Bureau des Légendes;1;Éric Rochant;Drama;2015;2015;Downloaded;DELETED;HD 1080P;10;55;9,17;26.04.2020;
Le Bureau des Légendes;Cal.;Le Bureau des Légendes;2;Éric Rochant;Drama;2016;2016;Downloaded;DELETED;HD 1080P;10;55;9,17;03.05.2020;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;7;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2020;2020;Downloaded;DELETED;HD 1080P;12;22;4,40;23.05.2020;
